Behavioral Variable,Condition,Metric Type,Base Metric,P-Value,Coefficient,Standard Error,T-Statistic,Confidence Interval,F-Statistic,Adjusted R-Squared
binary_or_ternary_introduced,600_5,fd,T_PREC,0.036192311037440174,-31.885697778528325,14.733999736587824,-2.164089748104786,"[-61.62011297195174, -2.151282585104905]",3.3902168798981096,0.09799900065128464
binary_or_ternary_introduced,600_5,fd,ST_PREM,0.22456522593696673,-16.69792668307721,13.546463888540263,-1.2326409918091579,"[-44.03579751691061, 10.639944150756193]",1.7372111946660134,0.03242311417853028
binary_or_ternary_introduced,600_5,fd,ST_PREC,0.07066343549274563,-31.76700762789642,17.127525510130667,-1.8547342176840855,"[-66.33175337643391, 2.797738120641071]",2.740669064567109,0.07332013515849278
binary_or_ternary_introduced,600_5,fd,CP,0.05985449910229344,-37.22257816435449,19.2452005697582,-1.9341226416130906,"[-76.06096519112273, 1.6158088624137577]",2.8978209648516216,0.07941397534289396
binary_or_ternary_introduced,600_5,log_fc,T_PREM,0.7834347067014796,-1.8280838718162224,6.6078020257085495,-0.27665536356927983,"[-15.172810744623783, 11.516643000991339]",0.6607314017763356,-0.02367970769032568
binary_or_ternary_introduced,600_5,log_fc,T_PREC,0.6606841765150644,2.142027750912554,4.844265421003432,0.4421780321171705,"[-7.641164707209715, 11.925220209034823]",0.7022324643942953,-0.020723058383925075
binary_or_ternary_introduced,600_5,log_fc,ST_PREM,0.9199669283457147,-0.5957970834125851,5.8933717505446115,-0.10109613115064851,"[-12.497702749617002, 11.306108582791833]",0.637599925181469,-0.02533510351555246
binary_or_ternary_introduced,600_5,log_fc,ST_PREC,0.6963396670632362,1.9656785839083661,5.001451411793382,0.3930216295360407,"[-8.134957421578445, 12.066314589395176]",0.6879124355075714,-0.021741324651250782
binary_or_ternary_introduced,600_5,log_fc,CP,0.5058595902592526,-3.124463862071925,4.655067217573228,-0.6711962934233988,"[-12.525562798054928, 6.276635073911077]",0.7911699418643666,-0.014444073742845509
binary_or_ternary_introduced,600_5,fdc,T_PREM,0.2507937119785711,-10.611187312968077,9.109118611047652,-1.1648972602133754,"[-29.00742549375777, 7.785050867821614]",1.1073483987057384,0.007266027429289834
binary_or_ternary_introduced,600_5,fdc,T_PREC,0.4427402674290377,-6.312510054858581,8.144340487140344,-0.7750793406569673,"[-22.760339293262902, 10.13531918354574]",0.8435745215392803,-0.010780349990864746
binary_or_ternary_introduced,600_5,fdc,ST_PREM,0.42997815205145307,-6.993367199879127,8.773381344131522,-0.79711196009472,"[-24.711570216996037, 10.724835817237782]",0.8556566935386525,-0.009939408652535953
binary_or_ternary_introduced,600_5,fdc,ST_PREC,0.5244905824392545,-5.733651163161268,8.931870441935603,-0.6419317432372813,"[-23.77192940563821, 12.304627079315674]",0.7777663122251014,-0.01538542136611798
binary_or_ternary_introduced,600_5,fdc,CP,0.12547726233241593,-13.858526081848696,8.860300159091233,-1.564114740247142,"[-31.75226520631759, 4.035213042620198]",1.4873526771438756,0.032159961399476966
isochrony_introduced,600_5,fd,T_PREM,0.6226209092252846,7.768284039738981,15.668218301341897,0.4957988132622374,"[-23.851460540301815, 39.38802861977978]",0.3453414246796684,-0.030669857290893887
isochrony_introduced,600_5,fd,T_PREC,0.0023429796299468306,53.6847444889061,16.571329451976744,3.239616027457725,"[20.24244782532591, 87.12704115248629]",5.523953912843771,0.17056106822192607
isochrony_introduced,600_5,fd,ST_PREM,0.5082519242515919,10.916097400794353,16.359435727855704,0.6672661320590163,"[-22.098580416407675, 43.930775217996384]",0.4461052673615049,-0.025827287786442943
