Behavioral Variable,Condition,Metric Type,Base Metric,P-Value,Coefficient,Standard Error,T-Statistic,Confidence Interval,F-Statistic,Adjusted R-Squared
binary_or_ternary_introduced,composite,fdc,T_PREC,0.20495891240644049,-0.3496999382415265,0.27150052465102836,-1.288026749454762,"[-0.898006371270607, 0.19860649478755393]",1.325045121687578,0.02168165492216023
binary_or_ternary_introduced,composite,fdc,ST_PREM,0.3024773300297696,-0.3076024836255853,0.2945613909527915,-1.0442729192397242,"[-0.9024812809649473, 0.2872763137137767]",1.125253983196622,0.008467729523534029
binary_or_ternary_introduced,composite,fdc,ST_PREC,0.2561571259156233,-0.343456971736397,0.29824348064467143,-1.1515992604230405,"[-0.9457719000653504, 0.2588579565925564]",1.2080775259083623,0.013988645667750488
binary_or_ternary_introduced,composite,fdc,CP,0.10773085566123491,-0.4904036099393293,0.29821779836201634,-1.6444478251563386,"[-1.0926666718462463, 0.11185945196758773]",1.6923596061032962,0.04507835287258932
isochrony_introduced,composite,fd,T_PREM,0.2354761227570944,0.6940188215391953,0.5766087984703501,1.203621629396421,"[-0.4696248443379457, 1.857662487416336]",0.824817353378446,-0.008026763467710696
isochrony_introduced,composite,fd,T_PREC,0.001751087520579355,2.054217003995996,0.6144986097967509,3.3429156246186476,"[0.8141086031578024, 3.2943254048341895]",5.710497226466577,0.17635378280412906
isochrony_introduced,composite,fd,ST_PREM,0.23749902601047224,0.7232689132748877,0.6035537059168556,1.1983505464127227,"[-0.4947517773041825, 1.941289603853958]",0.8184575804952955,-0.008320589062491557
isochrony_introduced,composite,fd,ST_PREC,0.003210195836963692,2.2327727381184874,0.714228534739369,3.126132084506053,"[0.7914012005301396, 3.674144275706835]",5.006063016001247,0.15404342493273038
isochrony_introduced,composite,fd,CP,0.2001547961921046,1.1407936272148071,0.8764692242046389,1.3015786472708522,"[-0.627992877236051, 2.909580131665665]",0.9480857614032167,-0.002365319652982256
isochrony_introduced,composite,log_fc,T_PREM,0.9813792299685229,0.006905223460635688,0.2940569184443878,0.023482608391482574,"[-0.5869547709795437, 0.6007652179008152]",0.11448060473753711,-0.06425585459781802
isochrony_introduced,composite,log_fc,T_PREC,0.5459812603444092,-0.13085512733997348,0.21492097505575875,-0.608852287711912,"[-0.5648968418722872, 0.30318658719234026]",0.23889569210239825,-0.05473380279493978
isochrony_introduced,composite,log_fc,ST_PREM,0.7209695634595588,0.0940941008044737,0.26164133803059686,0.3596301009340892,"[-0.434301300909418, 0.6224895025183653]",0.15776706884289043,-0.060923503072226604
isochrony_introduced,composite,log_fc,ST_PREC,0.5950362129840309,-0.11893787051079305,0.2220087660056821,-0.535735019164734,"[-0.5672936692564006, 0.3294179282348145]",0.21076602707962094,-0.05687175649398313
isochrony_introduced,composite,log_fc,CP,0.17514885679144984,-0.2806788583333435,0.2034304931640811,-1.3797285449578895,"[-0.6915150739152995, 0.1301573572486125]",0.7541523293787619,-0.01704810737092366
isochrony_introduced,composite,fdc,T_PREM,0.47519007280856973,0.29480421328634515,0.409058755676304,0.720689165542833,"[-0.5313067031197194, 1.1209151296924098]",0.28887412022062275,-0.050956526202664776
isochrony_introduced,composite,fdc,T_PREC,0.18805306977978917,0.47793826370524756,0.35702389029878584,1.3386730599604162,"[-0.2430861101795177, 1.1989626375900129]",0.7166394430654484,-0.019700655382897114
isochrony_introduced,composite,fdc,ST_PREM,0.41128702629177416,0.32358806765332804,0.38981585291448556,0.8301049463073376,"[-0.4636610182350247, 1.1108371535416808]",0.34590758859842474,-0.046678961301904076
isochrony_introduced,composite,fdc,ST_PREC,0.25289673264298024,0.4554160893764395,0.39271558931796763,1.1596588008318294,"[-0.3376891329822256, 1.2485213117351046]",0.5663136762031946,-0.03047052081499335
isochrony_introduced,composite,fdc,CP,0.9428176505226173,-0.02926403854113068,0.40548837260594955,-0.0721698586646509,"[-0.8481644200564442, 0.7896363429741828]",0.11604593902867211,-0.06413498461877953
