subject_id,G_resp_400_4,entropy_diff_norm_q_avg_400_4,asynchrony_norm_abs_avg_400_4,iti_ioi_cov_diff_avg_400_4,simple_ratio_introduced_400_4,tempo_deviation_abs_avg_400_4,G_resp_400_5,entropy_diff_norm_q_avg_400_5,asynchrony_norm_abs_avg_400_5,iti_ioi_cov_diff_avg_400_5,simple_ratio_introduced_400_5,tempo_deviation_abs_avg_400_5,G_resp_600_4,entropy_diff_norm_q_avg_600_4,asynchrony_norm_abs_avg_600_4,iti_ioi_cov_diff_avg_600_4,simple_ratio_introduced_600_4,tempo_deviation_abs_avg_600_4,G_resp_600_5,entropy_diff_norm_q_avg_600_5,asynchrony_norm_abs_avg_600_5,iti_ioi_cov_diff_avg_600_5,simple_ratio_introduced_600_5,tempo_deviation_abs_avg_600_5,G_resp_collapsed,entropy_diff_norm_q_avg_collapsed,asynchrony_norm_abs_avg_collapsed,iti_ioi_cov_diff_avg_collapsed,simple_ratio_introduced_avg_collapsed,tempo_deviation_abs_avg_collapsed,isochrony_introduced_400_4,isochrony_introduced_400_5,isochrony_introduced_600_4,isochrony_introduced_600_5,binary_or_ternary_introduced_400_4,binary_or_ternary_introduced_400_5,binary_or_ternary_introduced_600_4,binary_or_ternary_introduced_600_5
31,0.014900513,-0.167623494,0.028097862,-0.021874173,2.517187499999999,0.087756758,0.007027539,-0.104459835,0.022377898,0.006010116,3.0160256410256405,0.089972328,0.059581205,-0.004056187,0.029536489,-0.001566043,-1.880813953,0.068351798,0.043829141,-0.146714154,0.03237908,-0.038416325,1.396367521367521,0.058369366,0.031334599,-0.105713417,0.028097832,-0.013961606,0.176520572,0.076112562,1.5749999999999993,0.9230769230769224,-1.465116279,3.0769230769230766,0.9421874999999996,2.092948717948718,-0.415697674,-1.680555556
32,0.008030302,-0.121693479,0.033935114,0.019056867,4.557180851063829,0.100201389,0.014114513,-0.103439073,0.032517122,0.02074679,1.714962121212121,0.145657936,0.02900396,-0.10803942,0.042368529,0.019005191,3.419836956521739,0.065823245,0.068781904,-0.020608603,0.033788657,0.030909247,0.6141304347826086,0.061428329,0.02998267,-0.088445143,0.035652356,0.022429524,0.300305904,0.093277725,1.3404255319148923,0.2727272727272725,0.9782608695652169,-0.782608696,3.2167553191489366,1.4422348484848488,2.441576086956522,1.3967391304347825
33,0.022856087,-0.183891684,0.030991554,-0.018345313,3.231534090909092,0.05343042,0.031721621,-0.217789622,0.029717882,-0.036145532,1.5317028985507248,0.0637425,0.016972108,-0.027674529,0.030320012,0.012184516,0.5733695652173911,0.085155397,0.00686437,0.022602625,0.026748606,0.032365828,-1.076086957,0.090626036,0.019603547,-0.101688303,0.029444514,-0.002485125,0.173171937,0.073238588,1.2272727272727275,1.695652173913043,-1.369565217,-1.695652174,2.004261363636364,-0.163949275,1.942934782608696,0.6195652173913044
34,0.024621635,-0.043038479,0.03042882,0.064034823,1.7087765957446803,0.153953916,0.009121946,-0.019329372,0.032595903,0.069657609,2.838888888888889,0.172592781,0.041010286,-0.041075388,0.03187028,0.036412515,2.177777777777778,0.086834898,0.009158992,0.066365156,0.03213696,0.042496739,-0.166666667,0.094701677,0.020978215,-0.009269521,0.031757991,0.053150421,0.187234043,0.127020818,-0.382978723,-0.8,-1,-1.787234043,2.091755319148936,3.638888888888889,3.177777777777778,1.6205673758865249
35,0.015084967,-0.267385737,0.064422181,0.045672567,7.200520833333332,0.137380107,0.144303448,-0.241950063,0.082991598,0.051371546,3.646990740740741,0.149441458,0.3516069,-0.409158256,0.055848008,-0.02228064,4.263888888888886,0.208975692,0.140875507,-0.335672587,0.056583362,-0.011729792,5.812499999999998,0.191730542,0.162967706,-0.313541661,0.064961287,0.01575842,0.517361111,0.17188195,3.749999999999999,-1.5,4.666666666666663,4.833333333333331,3.450520833333333,5.1469907407407405,-0.402777778,0.9791666666666669
36,0.012861349,-0.103537777,0.027454254,0.023108809,1.1940104166666663,0.092946745,0.003139017,-0.051889742,0.022721846,0.012185751,2.410326086956521,0.12234447,0.064629442,-0.025247465,0.031350898,0.016396802,-2.444010417,0.061074481,0.017562038,-0.021660849,0.024646713,0.016560141,-1.131944444,0.076915281,0.024547962,-0.050583958,0.026543428,0.017062876,0.019474638,0.088320244,-0.5625,0.7826086956521738,-3.375,-2.125,1.7565104166666663,1.6277173913043477,0.9309895833333336,0.9930555555555558
37,0.03287435,-0.043944492,0.052725672,0.019220367,3.67,0.108522383,0.011879708,-0.039233823,0.05277234,0.01018261,0.2877604166666669,0.118658806,0.113342096,-0.14774015,0.055109693,0.020247819,3.486111111,0.127815224,0.024539632,-0.126661977,0.04929346,0.011477462,0.8811728395061738,0.114032283,0.045658947,-0.08939511,0.052475291,0.015282065,0.244259259,0.117257174,2.52,-0.5625,1.4999999999999982,-0.222222222,1.15,0.850260417,1.9861111111111116,1.1033950617283952
38,0.049500702,-0.055220148,0.03737508,0.06810913,3.902777777777777,0.198280023,0.006997305,-0.058426939,0.04280691,0.066944456,2.171195652173913,0.195471026,0.050463956,-0.023882876,0.038488016,0.02323409,0.7758152173913051,0.092279205,0.017977438,-0.001994023,0.035708932,0.05195872,1.855072463768117,0.083004126,0.03123485,-0.034880996,0.038594735,0.052561599,0.196980676,0.142258595,0.9999999999999992,-1.304347826,-0.195652174,-0.52173913,2.902777777777778,3.4755434782608696,0.971467391,2.376811594
39,0.010323952,0.02891085,0.044733432,0.01875485,-1.087171053,0.080275968,0.000165624,-0.076836054,0.039137289,0.035468421,1.2623106060606069,0.133853715,0.014656474,0.160576209,0.050587183,0.0511282,-2.75,0.1164035,0.030804683,-0.077380342,0.040360302,0.037857099,-1.748015873,0.104590081,0.013987683,0.008817666,0.043704552,0.035802142,-0.133733956,0.108780816,-1.894736842,-0.545454545,-2.75,-2.142857143,0.8075657894736843,1.807765151515152,0,0.39484127
40,0.052962752,-0.1050223,0.088910613,0.03778276,0.7272727272727273,0.201830784,0.079695053,-0.089146366,0.086178158,0.034242291,2.3837719298245608,0.145443429,0.033724106,-0.016922475,0.094950522,0.116035018,0.691176471,0.212374285,0.171351365,0.094349167,0.078842714,0.113136489,-0.78422619,0.287215461,0.084433319,-0.029185493,0.087220502,0.07529914,0.022033694,0.21171599,0.4090909090909091,1.5789473684210522,-2.647058824,-1.071428571,0.3181818181818181,0.8048245614035088,3.338235294117647,0.2872023809523807
