pp_id,stim_tempo_intended,length,edit_distance_avg,entropy_diff_avg,quantized_binary_vs_ternary_prop,quantized_binary_vs_total_prop,quantized_ternary_vs_total_prop,rhythmic_contours_edit_distance_avg,G_resp
50,400,4,2.787878787878788,0.0700148667232267,0.7241379310344828,0.3181818181818182,0.1212121212121212,0.7272727272727273,0.017219095307028
51,400,4,2.5,-0.0390177602260351,0.8148148148148148,0.275,0.0625,0.475,0.0841629346867306
52,400,4,2.12,-0.1178801908064518,0.8333333333333334,0.3,0.06,0.44,0.0353069620796705
53,400,4,1.5869565217391304,-0.077902585618611,0.6333333333333333,0.2065217391304347,0.1195652173913043,0.3043478260869565,0.0043600277078671
54,400,4,2.0638297872340425,-0.172153917396996,0.8611111111111112,0.3297872340425531,0.0531914893617021,0.3617021276595745,0.0135951775741828
55,400,4,2.268292682926829,-0.1197234945410914,0.8518518518518519,0.2804878048780488,0.048780487804878,0.2682926829268293,0.1265391008706212
56,400,4,1.6956521739130437,-0.0928728066932594,0.8717948717948718,0.3695652173913043,0.0543478260869565,0.4782608695652174,0.0175041220839426
57,400,4,2.0869565217391304,-0.0062539580967778,0.8387096774193549,0.2826086956521739,0.0543478260869565,0.3478260869565217,0.0602343413586392
58,400,4,2.782608695652174,-0.0540197097779999,0.45,0.1956521739130435,0.2391304347826087,0.3478260869565217,0.048591355743998
59,400,4,2.083333333333333,-0.1508864283319249,0.7407407407407407,0.2777777777777778,0.0972222222222222,0.25,0.0170145007039773
60,400,4,3.55,-0.0836988216785835,0.6,0.225,0.15,0.8,0.0254832769976967
61,400,4,2.7142857142857144,-0.055011680996821,0.696969696969697,0.2738095238095238,0.119047619047619,0.1904761904761904,0.0523284582201584
62,400,4,1.6875,-0.0613959327116936,0.9117647058823528,0.3229166666666667,0.03125,0.1875,0.020542918173385
63,400,4,2.9615384615384617,-0.1623089656442662,0.2857142857142857,0.1153846153846153,0.2884615384615384,0.5,0.1842276514638514
64,400,4,2.0,0.0523117635491147,0.6818181818181818,0.234375,0.109375,0.34375,0.0278741664677718
65,400,4,2.4871794871794872,-0.1229589038885765,1.0,0.2051282051282051,0.0,0.4102564102564102,0.0431485606249535
66,400,4,1.9393939393939397,0.0245736429156463,0.8461538461538461,0.3333333333333333,0.0606060606060606,0.303030303030303,0.0113984664538923
20,400,5,2.208333333333333,-0.106534465329206,0.6440677966101694,0.2638888888888889,0.1458333333333333,0.3958333333333333,0.0018106749310119
