pp_id,stim_tempo_intended,length,entropy_diff_avg,G_diff
37,400,5,-0.0480489908178472,0.0178899241714973
38,400,5,0.0165035042990463,0.0307383174549829
39,400,5,0.0,0.0361533338100532
40,400,5,-0.0254463653648055,0.0045649654297417
41,400,5,-0.0502330358550221,0.0011706660961368
42,400,5,0.0253590431912175,0.0170794397453892
43,400,5,0.0459729211230614,0.0357147495376894
44,400,5,-0.0533190138892266,0.0044091136256144
45,400,5,-0.012780344195882,0.06446566651069
46,400,5,-0.0924104847458728,0.0606987336175878
47,400,5,-0.12689085452716,0.0013985162025494
48,400,5,-0.0737390617616963,0.0013308525434168
49,400,5,-0.0413658248591465,-0.0013717503140147
50,400,5,0.0,0.0180735637682593
51,400,5,-0.0913726049838386,0.0363250722433652
52,400,5,-0.0649825481774949,0.0028733986224039
53,400,5,-0.0516173432331874,-0.0004654418884944
54,400,5,-0.127069090045977,0.0032611539577872
55,400,5,-0.037002595050269,0.0553545297416856
56,400,5,-0.124571057496519,0.0370707985265874
57,400,5,-0.0516173432331874,0.0140280733243636
58,400,5,-0.0442434370570178,-0.0083922893943444
59,400,5,-0.0325148001883626,0.0721639773599143
60,400,5,0.0,0.0065597624160794
61,400,5,-0.0675209478646725,0.0150641599021836
62,400,5,-0.0866433975699932,0.0123750142949312
63,400,5,-0.118564649306306,0.141669240791054
64,400,5,-0.0461986089891396,0.0699116616327504
65,400,5,-0.0512797238352289,0.011532826426188
66,400,5,-0.025560688391764,-0.0068952417142713
20,600,4,-0.0879173563906442,0.0558644790804624
21,600,4,-0.0394346922037028,0.049395076337142
22,600,4,-0.0256721177985165,0.0738147421563016
23,600,4,-0.121693478561725,0.0069145909216585
24,600,4,-0.0491593745077975,0.0895865430428879
25,600,4,-0.066413208895379,0.0016811863121126
26,600,4,-0.0633172070883218,0.0589400529971909
27,600,4,-0.043974098465537,0.0355966979196687
28,600,4,-0.0709413822291548,-0.0078110864925973
29,600,4,-0.126634414176644,0.0575991838377429
30,600,4,0.0096270441744436,0.0981805565560662
31,600,4,-0.0860266891312865,0.0131046557888591
32,600,4,0.0205376942388132,0.0348636328324235
33,600,4,0.0197310577059231,0.0552581900842703
34,600,4,-0.0438340657414232,-0.0005418311132475
