pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_cov_norm_avg,simple_ratio_introduced_avg,tempo_deviation_abs_avg
33,51,600,5,600_5,36,0.0514341341987937,0.1384122861072431,0.0524818473729551,0.2761215346385051,-0.1666666666666666,0.1247330715759945
21,52,600,5,600_5,46,0.0648099220794651,0.0435058160863329,0.0431099545651114,0.2710298351870708,0.1521739130434782,0.1111351494885003
38,53,600,5,600_5,45,0.0255108066182091,-0.019329371867656,0.0432451234621584,0.2817477692046611,0.1777777777777777,0.0961104061457264
62,54,600,5,600_5,48,0.0184141795179433,-0.0596732032776387,0.0179631055516917,0.1887202225777723,0.0,0.087582973939371
24,56,600,5,600_5,44,0.0229415501227919,-0.1211230884122892,0.0282091136397449,0.1643932595668133,-0.0681818181818181,0.1077094991824335
34,57,600,5,600_5,42,0.0598621023051975,0.0857934156054771,0.0378099149222971,0.2465401989772552,0.0952380952380952,0.1290488653373156
55,58,600,5,600_5,47,0.0755929706226302,-0.070955826954438,0.0366426442340345,0.1915606161186229,0.4893617021276595,0.0653436926929612
37,59,600,5,600_5,48,0.0489523147849502,-0.0072202831308327,0.0281960718559123,0.2493861638652057,0.2291666666666666,0.070492517345085
46,60,600,5,600_5,43,0.0122598376615493,-0.1925274224619786,0.0448610926754255,0.2896343820093432,0.5116279069767442,0.0993604077084675
27,61,600,5,600_5,39,0.0469111432048644,-0.0055323475471496,0.0453099433749188,0.2683004379858742,0.3333333333333333,0.1204754024078379
42,62,600,5,600_5,44,0.0068314103354494,-0.1093850741605762,0.0370604790897033,0.1984688192377643,0.1363636363636363,0.0716394083809682
30,63,600,5,600_5,43,0.1164073713735596,-0.1481194572321079,0.0378597629329952,0.1980442011153489,0.0930232558139534,0.241101828858088
54,64,600,5,600_5,43,0.0426540995504253,-0.1108623429191143,0.0323000937756149,0.2022552508381812,0.1627906976744186,0.0890193271343088
50,65,600,5,600_5,37,0.0257290408934215,0.1417423343714331,0.0644179664850175,0.3329444462649665,0.1621621621621621,0.1612966280586175
61,66,600,5,600_5,39,0.0797392281223066,0.0177730046297421,0.0351937367362486,0.2562878650467629,0.1025641025641025,0.0900953986058975
56,67,600,5,600_5,42,0.0907025912709897,-0.2371168829293412,0.0329838070043267,0.2163484205188767,0.8333333333333334,0.0685377154103845
39,68,600,5,600_5,25,0.0472165145544798,-0.2375045420921188,0.0568259428784268,0.2038898656390122,0.36,0.1414381467948463
