pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff,edit_distance,stim_entropy,resp_entropy,entropy_diff,G,silhouette,rhythmic_contours_edit_distance
22,25,Male,Romanian,right,0,30,22_30,5,5,600,613.089005235602,197.460416589773,1,732.198952879581,672.954545454545,59.2444074250358,4,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.012837715282373874,0.5286559654214381,1
22,25,Male,Romanian,right,0,30,22_30,5,5,600,613.089005235602,197.460416589773,2,800.261780104712,654.545454545455,145.716325559257,4,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.012837715282373874,0.5286559654214381,1
22,25,Male,Romanian,right,0,30,22_30,5,5,600,613.089005235602,197.460416589773,3,357.853403141361,233.181818181818,124.671584959543,4,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.012837715282373874,0.5286559654214381,1
22,25,Male,Romanian,right,0,30,22_30,5,5,600,613.089005235602,197.460416589773,4,562.041884816754,445.909090909091,116.132793907663,4,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.012837715282373874,0.5286559654214381,1
22,25,Male,Romanian,right,0,31,22_31,4,4,400,355.128205128205,246.902007222281,1,195.454545454545,194.318181818182,1.13636363636368,1,1.0986122886681096,1.0986122886681096,0.0,0.22965421310974232,0.6401327396261548,0
22,25,Male,Romanian,right,0,31,22_31,4,4,400,355.128205128205,246.902007222281,2,639.51048951049,552.272727272727,87.2377622377624,1,1.0986122886681096,1.0986122886681096,0.0,0.22965421310974232,0.6401327396261548,0
22,25,Male,Romanian,right,0,31,22_31,4,4,400,355.128205128205,246.902007222281,3,230.41958041958,212.727272727273,17.6923076923076,1,1.0986122886681096,1.0986122886681096,0.0,0.22965421310974232,0.6401327396261548,0
22,25,Male,Romanian,right,0,33,22_33,4,4,400,432.051282051282,142.644201597773,1,412.237762237762,259.772727272727,152.465034965035,3,1.0986122886681096,1.0986122886681096,0.0,0.22965421310974232,0.6401327396261548,0
22,25,Male,Romanian,right,0,33,22_33,4,4,400,432.051282051282,142.644201597773,2,583.566433566434,574.772727272727,8.79370629370612,3,1.0986122886681096,1.0986122886681096,0.0,0.22965421310974232,0.6401327396261548,0
22,25,Male,Romanian,right,0,33,22_33,4,4,400,432.051282051282,142.644201597773,3,300.34965034965,396.818181818182,96.4685314685314,3,1.0986122886681096,1.0986122886681096,0.0,0.22965421310974232,0.6401327396261548,0
22,25,Male,Romanian,right,0,34,22_34,5,5,600,529.319371727749,119.667204193587,1,465.183246073298,456.136363636364,9.04688243693465,4,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,34,22_34,5,5,600,529.319371727749,119.667204193587,2,439.005235602094,636.136363636364,197.131128034269,4,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,34,22_34,5,5,600,529.319371727749,119.667204193587,3,703.403141361257,605.454545454545,97.9485959067111,4,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,34,22_34,5,5,600,529.319371727749,119.667204193587,4,509.685863874346,251.590909090909,258.094954783437,4,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,35,22_35,5,5,400,254.712041884817,79.7176655885253,1,267.801047120419,214.772727272727,53.0283198476917,7,1.3862943611198906,1.3862943611198906,0.0,0.026744121496339535,0.6401327396261548,0
22,25,Male,Romanian,right,0,35,22_35,5,5,400,254.712041884817,79.7176655885253,2,150.0,184.090909090909,34.0909090909092,7,1.3862943611198906,1.3862943611198906,0.0,0.026744121496339535,0.6401327396261548,0
22,25,Male,Romanian,right,0,35,22_35,5,5,400,254.712041884817,79.7176655885253,3,257.329842931937,315.0,57.6701570680628,7,1.3862943611198906,1.3862943611198906,0.0,0.026744121496339535,0.6401327396261548,0
22,25,Male,Romanian,right,0,35,22_35,5,5,400,254.712041884817,79.7176655885253,4,343.717277486911,1053.40909090909,709.69181342218,7,1.3862943611198906,1.3862943611198906,0.0,0.026744121496339535,0.6401327396261548,0
22,25,Male,Romanian,right,0,36,22_36,5,5,600,500.523560209424,154.878573153855,1,399.738219895288,519.545454545455,119.807234650167,2,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,0
22,25,Male,Romanian,right,0,36,22_36,5,5,600,500.523560209424,154.878573153855,2,564.659685863874,599.318181818182,34.6584959543075,2,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,0
22,25,Male,Romanian,right,0,36,22_36,5,5,600,500.523560209424,154.878573153855,3,350.0,202.5,147.5,2,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,0
22,25,Male,Romanian,right,0,36,22_36,5,5,600,500.523560209424,154.878573153855,4,687.696335078534,488.863636363636,198.832698714898,2,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,0
22,25,Male,Romanian,right,0,38,22_38,5,5,600,697.513089005236,118.08913774079,1,808.115183246073,722.045454545455,86.0697287006187,4,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,2
