pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_ioi_cov_diff_avg,binary_or_ternary_introduced,tempo_deviation_abs_avg
31,32,400,4,400_4,47,0.008030302418212,-0.12169347856172504,0.03393511411097348,0.0190568665343026,3.286684782608696,0.10020138927805348
31,32,400,5,400_5,44,0.0141145133266594,-0.10343907252688825,0.03251712197858587,0.02074679019801413,1.3892045454545463,0.1456579355701183
31,32,600,4,600_4,46,0.0290039596016722,-0.108039419556,0.042368528799592145,0.01900519080261065,2.441576086956522,0.06582324473595233
31,32,600,5,600_5,46,0.0687819040349325,-0.020608602951153073,0.033788657494850195,0.030909246918554185,1.396739130434783,0.061428328666245105
25,33,400,4,400_4,44,0.0228560870971379,-0.18389168449224572,0.03099155433607085,-0.018345312531496644,1.6420454545454555,0.05343042009158641
25,33,400,5,400_5,46,0.0317216208843316,-0.21778962247726358,0.029717881977142906,-0.036145532250736696,-0.1639492753623184,0.06374250038814014
25,33,600,4,600_4,46,0.0169721080958312,-0.027674529056296193,0.03032001231420359,0.012184515996746765,1.942934782608696,0.08515539685959608
25,33,600,5,600_5,46,0.0068643701554998,0.022602625453041706,0.026748605978606777,0.03236582814179947,0.6195652173913045,0.09062603564647383
32,34,400,4,400_4,47,0.024621635150746,-0.04303847934924901,0.030428820230659032,0.06403482300242723,2.0917553191489366,0.15395391570602815
32,34,400,5,400_5,45,0.0091219456139665,-0.019329371867656008,0.03259590322237953,0.06965760850917169,3.638888888888889,0.17259278144966628
32,34,600,4,600_4,45,0.0410102856759587,-0.04107538847762638,0.03187027999582607,0.03641251499402174,3.1777777777777785,0.08683489770070404
32,34,600,5,600_5,47,0.0091589922626252,0.06636515558552669,0.03213696002853336,0.042496739476872304,1.6839539007092201,0.09470167729393457
63,35,400,4,400_4,24,0.0150849674044213,-0.26738573683696426,0.06442218141270585,0.04567256709386644,3.4505208333333335,0.13738010733478706
63,35,400,5,400_5,36,0.1443034477387144,-0.2419500631817432,0.08299159761294356,0.05137154637444522,5.1469907407407405,0.1494414577267438
63,35,600,4,600_4,27,0.3516069000604459,-0.40915825592860544,0.05584800761262673,-0.02228063986977609,-0.40277777777777807,0.20897569168502764
63,35,600,5,600_5,36,0.1408755073476045,-0.3356725872848779,0.056583362179379204,-0.011729792409348393,0.9791666666666666,0.19173054172695111
48,36,400,4,400_4,48,0.0128613485985017,-0.1035377770745,0.027454254177065547,0.02310880877590227,1.7565104166666674,0.09294674474380121
48,36,400,5,400_5,46,0.003139017430524,-0.05188974198055539,0.022721845862649546,0.012185750770838229,1.6277173913043483,0.12234447032923637
48,36,600,4,600_4,48,0.0646294424310536,-0.02524746485829947,0.031350898440909394,0.01639680156593619,0.9309895833333337,0.06107448070224254
48,36,600,5,600_5,48,0.0175620377411404,-0.02166084939249828,0.02464671272649176,0.01656014142504912,0.9930555555555557,0.07691528095717194
52,37,400,4,400_4,25,0.0328743503758242,-0.04394449154672438,0.05272567163781474,0.01922036723019617,1.1500000000000006,0.10852238303385008
52,37,400,5,400_5,32,0.0118797079974924,-0.03923382266183603,0.052772339733207684,0.010182610138937984,1.109375,0.11865880559424752
52,37,600,4,600_4,18,0.1133420961515554,-0.1477401498727509,0.05510969311316495,0.02024781877887259,1.9861111111111116,0.12781522445616225
52,37,600,5,600_5,27,0.0245396321237103,-0.12666197723171438,0.04929345954698054,0.011477462356947502,1.1033950617283952,0.11403228337022042
58,38,400,4,400_4,45,0.0495007018732384,-0.05522014777306666,0.037375080209918574,0.06810912966221472,2.9027777777777777,0.19828002274649117
58,38,400,5,400_5,46,0.0069973049710935,-0.05842693921395832,0.04280691000451735,0.06694445576410521,3.4755434782608696,0.19547102582849313
58,38,600,4,600_4,46,0.0504639560914336,-0.023882875840611082,0.03848801578397424,0.023234090270991783,0.971467391304348,0.09227920523525976
58,38,600,5,600_5,46,0.0179774376923986,-0.001994022501888609,0.03570893218169153,0.05195871991661666,2.376811594202899,0.08300412556779287
66,39,400,4,400_4,38,0.0103239520467944,0.028910849701792356,0.04473343172729939,0.018754849765012776,0.8075657894736847,0.08027596842932228
66,39,400,5,400_5,44,0.0001656239577788,-0.07683605419095518,0.039137289269049094,0.03546842067704939,1.807765151515152,0.1338537145823516
66,39,600,4,600_4,36,0.014656474152659,0.16057620877200912,0.05058718337070945,0.05112820005382412,1.644774851296528e-17,0.11640350047431125
66,39,600,5,600_5,42,0.0308046833388446,-0.07738034163002122,0.040360302448046,0.03785709884163984,0.46577380952380953,0.10459008139123964
60,40,400,4,400_4,22,0.0529627523410368,-0.10502230008484019,0.0889106134515413,0.037782760109734054,0.3181818181818181,0.20183078444936886
60,40,400,5,400_5,19,0.0796950530995784,-0.0891463658181896,0.08617815831395781,0.034242291430644,0.8048245614035088,0.14544342936817384
60,40,600,4,600_4,17,0.0337241057654827,-0.016922474850104754,0.0949505219969612,0.11603501839747472,3.338235294117647,0.21237428535516223
60,40,600,5,600_5,28,0.1713513649513547,0.09434916736780874,0.0788427143081378,0.1131364891922078,0.3936011904761906,0.28721546136196563
45,41,400,4,400_4,41,0.0069581247709483,-0.13524823035316003,0.026335431696689515,0.013104405864605638,0.6067073170731708,0.0606114550363816
45,41,400,5,400_5,38,0.0589069636633774,-0.04680869655113953,0.026369002473008996,0.013760431473564497,0.7500000000000002,0.07115497054885357
45,41,600,4,600_4,41,0.0112283958949244,0.0014914639851524717,0.03247312848856504,0.023119417321200122,0.6539634146341465,0.060781626977619796
45,41,600,5,600_5,43,0.017454815717574,-0.066611947844806,0.03024168616097711,0.030536946101982113,1.8013565891472871,0.0641561431205691
57,42,400,4,400_4,38,0.0165185689070481,0.045661222551655854,0.03172533603429368,0.02040393391431364,1.5131578947368427,0.14141887715940687
57,42,400,5,400_5,35,0.0309200618736648,-0.08538143647367477,0.038310805234327984,0.014829209851032824,0.936309523809524,0.1162482595650571
57,42,600,4,600_4,43,0.0262803518585404,3.4425520143415706e-18,0.03406514225790445,0.028227190486943964,1.4549418604651168,0.09653083613904373
57,42,600,5,600_5,39,0.0985298167720469,-0.061203285412962764,0.03480310334716695,0.0509267032416717,3.6335470085470094,0.08432937314349756
47,43,400,4,400_4,42,0.013365579824086,-0.08801868959491368,0.03229124107617427,0.0017765862839880706,3.599702380952381,0.08786404117055556
