pp_id,stim_tempo_intended,length,sequence_id,interval_ratio_i,interval_ratio,quantized_ratio_i,quantized_ratio,quantized_ratio_str
20,400,5,20_17,1,0.5101010101010099,1,0.5,1:1
20,400,5,20_17,2,0.4330357142857142,2,0.4285714285714285,3:4
20,400,5,20_17,3,0.489402697495183,3,0.5,1:1
20,400,5,20_172,1,0.5625000000000001,1,0.5714285714285714,4:3
20,400,5,20_172,2,0.4883720930232557,2,0.5,1:1
20,400,5,20_172,3,0.4139784946236559,3,0.375,3:5
20,400,5,20_176,1,0.3938053097345134,1,0.3333333333333333,1:2
20,400,5,20_176,2,0.6462264150943393,2,0.6666666666666666,2:1
20,400,5,20_176,3,0.3424657534246577,3,0.3333333333333333,1:2
20,400,5,20_178,1,0.3438320209973751,1,0.3333333333333333,1:2
20,400,5,20_178,2,0.5186721991701241,2,0.5,1:1
20,400,5,20_178,3,0.6553672316384179,3,0.6666666666666666,2:1
20,400,5,20_180,1,0.4410480349344975,1,0.4444444444444444,4:5
20,400,5,20_180,2,0.5663716814159293,2,0.5555555555555556,5:4
20,400,5,20_180,3,0.5632183908045977,3,0.5714285714285714,4:3
20,400,5,20_182,1,0.731506849315069,1,0.75,3:1
20,400,5,20_182,2,0.2729805013927573,2,0.25,1:3
20,400,5,20_182,3,0.7478510028653294,3,0.75,3:1
20,400,5,20_186,1,0.5035971223021584,1,0.5,1:1
20,400,5,20_186,2,0.7632743362831861,2,0.75,3:1
20,400,5,20_186,3,0.315634218289085,3,0.3333333333333333,1:2
20,400,5,20_19,1,0.4188481675392669,1,0.4,2:3
20,400,5,20_19,2,0.4933333333333334,2,0.5,1:1
20,400,5,20_19,3,0.7058823529411761,3,0.75,3:1
20,400,5,20_21,1,0.6683417085427136,1,0.6666666666666666,2:1
20,400,5,20_21,2,0.3402061855670101,2,0.3333333333333333,1:2
20,400,5,20_21,3,0.491362763915547,3,0.5,1:1
20,400,5,20_23,1,0.3114285714285712,1,0.3333333333333333,1:2
20,400,5,20_23,2,0.4888438133874234,2,0.5,1:1
20,400,5,20_23,3,0.5185185185185186,3,0.5,1:1
20,400,5,20_27,1,0.4953917050691245,1,0.5,1:1
20,400,5,20_27,2,0.5069444444444442,2,0.5,1:1
20,400,5,20_27,3,0.5035460992907798,3,0.5,1:1
20,400,5,20_3,1,0.7414772727272723,1,0.75,3:1
20,400,5,20_3,2,0.3273381294964033,2,0.3333333333333333,1:2
20,400,5,20_3,3,0.3912133891213388,3,0.4,2:3
20,400,5,20_33,1,0.4914675767918095,1,0.5,1:1
20,400,5,20_33,2,0.34331797235023,2,0.3333333333333333,1:2
20,400,5,20_33,3,0.5098389982110916,3,0.5,1:1
20,400,5,20_37,1,0.505813953488372,1,0.5,1:1
20,400,5,20_37,2,0.5059523809523808,2,0.5,1:1
20,400,5,20_37,3,0.5684931506849317,3,0.6,3:2
20,400,5,20_41,1,0.5372750642673523,1,0.5,1:1
20,400,5,20_41,2,0.629370629370629,2,0.6666666666666666,2:1
20,400,5,20_41,3,0.497652582159625,3,0.5,1:1
20,400,5,20_43,1,0.735376044568245,1,0.75,3:1
20,400,5,20_43,2,0.3442028985507247,2,0.3333333333333333,1:2
20,400,5,20_43,3,0.3943355119825708,3,0.4,2:3
20,400,5,20_47,1,0.3345724907063194,1,0.3333333333333333,1:2
20,400,5,20_47,2,0.5,2,0.5,1:1
20,400,5,20_47,3,0.3995535714285716,3,0.4,2:3
20,400,5,20_5,1,0.3333333333333341,1,0.3333333333333333,1:2
20,400,5,20_5,2,0.4913494809688578,2,0.5,1:1
20,400,5,20_5,3,0.3798449612403099,3,0.4,2:3
20,400,5,20_50,1,0.4768339768339769,1,0.5,1:1
20,400,5,20_50,2,0.5241779497098648,2,0.5,1:1
20,400,5,20_50,3,0.7214076246334309,3,0.75,3:1
20,400,5,20_52,1,0.3699186991869919,1,0.3333333333333333,1:2
20,400,5,20_52,2,0.5938697318007664,2,0.6666666666666666,2:1
20,400,5,20_52,3,0.3002832861189802,3,0.25,1:3
20,400,5,20_54,1,0.5159420289855072,1,0.5,1:1
20,400,5,20_54,2,0.3769751693002255,2,0.4,2:3
20,400,5,20_54,3,0.7419354838709682,3,0.75,3:1
20,400,5,20_60,1,0.4919354838709679,1,0.5,1:1
20,400,5,20_60,2,0.7433628318584073,2,0.75,3:1
20,400,5,20_60,3,0.3222222222222216,3,0.3333333333333333,1:2
20,400,5,20_72,1,0.4104803493449785,1,0.4,2:3
20,400,5,20_72,2,0.6026785714285714,2,0.6,3:2
20,400,5,20_72,3,0.6544117647058826,3,0.6666666666666666,2:1
20,400,5,20_74,1,0.7207977207977212,1,0.75,3:1
20,400,5,20_74,2,0.3499999999999996,2,0.3333333333333333,1:2
20,400,5,20_74,3,0.4035476718403545,3,0.4,2:3
20,400,5,20_88,1,0.6275303643724698,1,0.6,3:2
20,400,5,20_88,2,0.4842105263157891,2,0.5,1:1
20,400,5,20_88,3,0.416135881104034,3,0.4,2:3
20,400,5,20_97,1,0.4787472035794185,1,0.5,1:1
20,400,5,20_97,2,0.6348773841961853,2,0.6,3:2
20,400,5,20_97,3,0.3145539906103287,3,0.3333333333333333,1:2
20,400,5,20_99,1,0.7400611620795111,1,0.75,3:1
20,400,5,20_99,2,0.2242744063324535,2,0.2222222222222222,2:7
20,400,5,20_99,3,0.628205128205128,3,0.6363636363636364,7:4
20,600,4,20_10,1,0.4904306220095695,1,0.5,1:1
20,600,4,20_10,2,0.6008462623413259,2,0.6,3:2
20,600,4,20_100,1,0.4985673352435533,1,0.5,1:1
20,600,4,20_100,2,0.3507014028056108,2,0.3333333333333333,1:2
20,600,4,20_102,1,0.5223463687150837,1,0.5,1:1
20,600,4,20_102,2,0.5437201907790142,2,0.5714285714285714,4:3
20,600,4,20_104,1,0.6914700544464609,1,0.7,7:3
20,600,4,20_104,2,0.3448275862068968,2,0.3333333333333333,1:2
20,600,4,20_108,1,0.5007633587786261,1,0.5,1:1
20,600,4,20_108,2,0.4705035971223019,2,0.5,1:1
20,600,4,20_114,1,0.4525316455696201,1,0.4444444444444444,4:5
20,600,4,20_114,2,0.6156583629893239,2,0.625,5:3
20,600,4,20_120,1,0.5015822784810127,1,0.5,1:1
20,600,4,20_120,2,0.588785046728972,2,0.6,3:2
20,600,4,20_124,1,0.5781250000000001,1,0.5714285714285714,4:3
20,600,4,20_124,2,0.4981549815498155,2,0.5,1:1
20,600,4,20_130,1,0.4739776951672863,1,0.5,1:1
20,600,4,20_130,2,0.6431818181818179,2,0.6666666666666666,2:1
20,600,4,20_134,1,0.3818565400843883,1,0.4,2:3
20,600,4,20_134,2,0.5095652173913043,2,0.5,1:1
20,600,4,20_136,1,0.6467065868263472,1,0.6666666666666666,2:1
20,600,4,20_136,2,0.4889502762430942,2,0.5,1:1
20,600,4,20_138,1,0.5116279069767441,1,0.5,1:1
20,600,4,20_138,2,0.4652880354505171,2,0.5,1:1
20,600,4,20_147,1,0.5923664122137404,1,0.5714285714285714,4:3
20,600,4,20_147,2,0.4819494584837545,2,0.5,1:1
20,600,4,20_153,1,0.5156445556946184,1,0.5,1:1
20,600,4,20_153,2,0.6765734265734265,2,0.6666666666666666,2:1
20,600,4,20_155,1,0.4282511210762331,1,0.4285714285714285,3:4
20,600,4,20_155,2,0.5795454545454545,2,0.5714285714285714,4:3
20,600,4,20_16,1,0.4778420038535643,1,0.5,1:1
20,600,4,20_16,2,0.458544839255499,2,0.4444444444444444,4:5
