pp_id,edit_distance_avg,entropy_diff_avg,quantized_binary_vs_ternary_prop_avg,quantized_binary_vs_total_prop_avg,quantized_ternary_vs_total_prop_avg,rhythmic_contours_edit_distance_avg,G_resp_avg
39,3.5606837606837605,-0.19157733243949562,0.9070257611241218,0.282051282051282,0.039957264957264954,0.8263532763532763,0.118433751250238
40,2.9300271739130435,-0.0721878838941757,0.9471153846153846,0.1621376811594203,0.0144927536231884,0.4286684782608695,0.0362030275390461
41,2.812484898822108,-0.06740450926581755,0.882183908045977,0.17535403872613173,0.029238816738816724,0.4333178126782778,0.03310353596791475
42,2.7636447224861858,-0.1419509177818441,0.8929736744530961,0.24905544997008408,0.0368163340724316,0.6941452856087003,0.030533508702014975
43,3.856337767923134,0.06399106782931414,0.5460214221512034,0.19726533628972653,0.17792867701404283,0.8755420054200542,0.026342147069444575
44,2.750189613189094,-0.1823567141304285,0.892427974324526,0.23231581647513144,0.03179591411298725,0.6752513760816823,0.0301350799709952
45,2.488430103645645,-0.06457672961318878,0.8814968814968815,0.26361745647054774,0.04829545454545452,0.5471819728768113,0.026627106199986324
46,3.7672541857407973,-0.15941134018448785,0.655869708994709,0.21836114580278546,0.12102925008237302,0.5812778752164063,0.05592664218853665
47,2.636370015485869,-0.14035516258870365,0.8428424001179419,0.24658343012001543,0.06114256678281065,0.6543070073557878,0.026664341382405348
48,3.0004432624113475,-0.038076571167447774,0.8935416666666667,0.25265957446808507,0.035239361702127624,0.37466755319148937,0.027128290000667177
49,2.4857073643410854,-0.09504522303893988,0.8793650793650793,0.2536337209302325,0.05038759689922477,0.4884932170542636,0.025310840145339925
50,3.570254770334963,0.10289833268019072,0.6044141123882503,0.2003922435959324,0.12447769815452253,1.014118405056657,0.04409949181253215
51,3.100927225927226,-0.007724929498638947,0.8818082788671023,0.21188989313989312,0.032209766584766576,0.7055289867789868,0.06723721997328352
52,3.457951388888889,-0.12738767483735783,0.9097222222222222,0.2531442901234568,0.03322916666666665,0.8819907407407407,0.041462693072089475
53,2.320950894233734,-0.10116835831593353,0.8079749103942653,0.1826337496145544,0.06452358926919517,0.4316894079555967,0.025429873415673397
54,2.537190742498328,-0.16037307281095167,0.936975890985325,0.2956855625102618,0.024661508704061877,0.5953074253837436,0.04314552023210823
55,2.8965582182045595,-0.12091458195752258,0.8661887694145759,0.15492282108135766,0.03658536585365853,0.6580746489283075,0.08730941579969595
56,3.05263644773358,-0.15737984106054917,0.8190839088671906,0.2618464945476971,0.07098943879124264,0.6222731477588093,0.07117803537037964
57,3.043950606901578,-0.04246941663473362,0.8811239602353418,0.2910798549790224,0.041486967267494526,0.5835098206860464,0.039634033560054696
58,3.280403946962689,-0.0287109884865882,0.75,0.22757734607873367,0.10410884983040392,0.6467673964436221,0.03033341306062595
59,2.9277777777777776,-0.1662149039088008,0.890542328042328,0.18287037037037035,0.035879629629629595,0.6666666666666666,0.038832428858941524
60,4.2685068649885585,0.007927209749593747,0.5315247252747253,0.13567410373760486,0.11921243325705565,1.1919908466819222,0.05044724387115303
61,3.12202445880835,0.012187503060703002,0.8271197193610986,0.3198855683611781,0.07011476580393194,0.4489672739814543,0.046714453533155974
62,2.5190217391304346,-0.13994938370000068,0.9388786764705882,0.18799064009661834,0.016493055555555552,0.4590126811594203,0.03411647043011872
63,3.478901580875265,-0.297205295308327,0.5495629558129558,0.19275552663710555,0.1619473362894415,0.883217659533449,0.20392509711171736
64,2.91036866359447,0.0194280610622664,0.8450378787878787,0.19818028353814643,0.04424723182283662,0.5894321236559139,0.04345512454352082
65,2.757480782352413,-0.12690114825866633,0.9821428571428572,0.17907929653757634,0.00657894736842105,0.6353894503766133,0.029305276076391024
66,3.4558388765705836,-0.0009577917922677023,0.8315781440781441,0.22343865484109382,0.0455931263858093,0.675720620842572,0.01253788936580375
