pp_id,stim_tempo_intended,length,G_stim,G_resp,G_diff,rhythmic_contours_edit_distance_sum,silhouette,tempo_diff_avg,tempo_diff_sd,tempo_diff_avg_abs,ratio_diff_avg_abs,entropy_diff_avg,preference_binary_D,preference_ternary_D
28,600,4,0.0596033868760805,0.0517923003834832,-0.0078110864925973,21,0.5876778944147326,-40.95571095571097,98.04787366486102,79.75577452850183,0.046510788188148904,-0.07094138222915483,0.36,0.168
28,600,5,0.0403761674231657,0.0838583794298197,0.043482212006654,52,0.5876778944147326,-27.574194361228585,125.7907841694607,95.00202984573173,0.06160242197120859,-0.04077336356234973,0.318,0.148
29,400,4,0.0028112323536977,0.041792520542747,0.0389812881890493,75,0.6188345726468102,-20.342851592851577,98.40695367951689,73.87626262626263,0.06274057439316236,-0.06601401719618526,0.426,0.213
29,400,5,0.0125506946888273,0.0127260159032687,0.0001753212144414,172,0.6188345726468102,19.64857036718873,126.24979366941116,89.07366991328175,0.07980332266705108,-0.01690602879414501,0.401,0.198
29,600,4,0.0165667007372914,0.0741658845750344,0.0575991838377429,90,0.5605863459067837,-68.53521478521478,109.97853197979613,101.07461982461979,0.057207770393450215,-0.1266344141766436,0.212,0.173
29,600,5,0.0061168268814715,0.1575852692264091,0.1514684423449376,204,0.5605863459067837,-63.740112418122884,152.7769608178015,133.06720439246624,0.07807123398067535,-0.11350192251242663,0.271,0.143
30,400,4,0.0008168792729245,0.0488239698317936,0.048007090558869,54,0.5846545587171319,-40.164534047512745,80.30942144766773,65.38945097455742,0.04871813487744407,-0.05287035425080851,0.359,0.182
30,400,5,0.002374183483507,0.0841686631452958,0.0817944796617887,68,0.5846545587171319,-31.408507023233692,88.67807634036305,70.14562556036435,0.050467749675596384,-0.04835910562046131,0.348,0.181
30,600,4,0.0006263510319158,0.0988069075879821,0.0981805565560662,69,0.5640503860539607,-157.71306818181816,112.48649312124716,162.21481643356643,0.052958316979040805,0.009627044174443683,0.181,0.199
30,600,5,6.468988073315973e-05,0.1164073713735597,0.1163426814928265,116,0.5640503860539607,-147.94210674872429,121.09524026890254,161.99442679565652,0.06131658391796458,-0.1108623429191144,0.244,0.142
31,400,4,0.0018194058441679,0.008030302418212,0.006210896574044,45,0.6122392700570342,36.38719436591778,68.38396346693685,57.612210484550936,0.04465609715312191,-0.05899124940935703,0.481,0.27
31,400,5,0.0052423831531077,0.0174858973532294,0.0122435142001217,96,0.6122392700570342,53.7148638635282,91.15047979835845,77.25334391631688,0.057478564257943045,-0.06598638086774815,0.505,0.292
31,600,4,0.0129321651673008,0.02603682095616,0.0131046557888591,54,0.5422698697461223,20.386687386687306,127.84975552843007,88.56358456358448,0.05746016524146954,-0.08602668913128647,0.359,0.166
31,600,5,0.000682017920714,0.0580396826764407,0.0573576647557266,100,0.5422698697461223,-1.8610444301885003,111.69449486906603,88.17639891976907,0.04985371883912194,0.013221688307874926,0.311,0.146
32,400,4,0.0068093698820893,0.024621635150746,0.0178122652686566,33,0.5875403795124737,62.20354113971137,72.1230106137355,70.28071219560579,0.03844763155418055,-0.019663749803119013,0.55,0.353
32,400,5,0.000764125813939,0.01136788295361,0.0106037571396709,80,0.5875403795124737,64.82906118902406,86.24190742891147,80.20241606986703,0.04831414263696168,-0.026155123005525978,0.492,0.288
32,600,4,0.0061466528435352,0.0410102856759587,0.0348636328324235,45,0.5940552243899064,37.522533022533054,90.76509357647765,74.87192437192444,0.0415548893826927,0.02053769423881319,0.263,0.154
32,600,5,0.0098519365296038,0.0161016929181795,0.0062497563885757,132,0.5940552243899064,46.307286550477514,169.8206519056303,95.21008866092137,0.04997942914566358,0.03965276568810639,0.318,0.152
33,400,4,0.0035878915119528,0.0616222867943002,0.0580343952823474,39,0.5801027734294485,35.36529260213473,97.22104664238199,67.59477364740518,0.04902467317544144,-0.0775527571095078,0.553,0.351
33,400,5,0.028135903338829,0.0627929134629452,0.0346570101241161,120,0.5801027734294485,31.424797715373728,139.98731160472232,104.37893520092476,0.08490960341404942,-0.04951051289713896,0.533,0.348
33,600,4,0.0031131228390081,0.0583713129232784,0.0552581900842703,48,0.5776502804537109,-7.5466200466201085,153.38802946836532,115.62476996687515,0.06297674963339384,0.019731057705923094,0.415,0.203
33,600,5,0.000608147736802,0.1736577067355411,0.173049558998739,180,0.5776502804537109,-28.331746787244146,186.02376015757994,149.2617206092337,0.08756051396464157,0.020598980412527054,0.39,0.193
34,400,4,0.0110570921749625,0.0487534479045542,0.0376963557295917,24,0.5730392042618686,3.0575505575505373,73.83214314468353,48.45035595035605,0.03896711827507242,0.01248913838846748,0.439,0.226
34,400,5,0.0005267120983257,0.0645619131575496,0.0640352010592238,60,0.5730392042618686,3.3006901475487904,93.04058343933957,61.88257575757578,0.055974621349952444,0.011552453009332423,0.442,0.231
34,600,4,0.0028613255388604,0.0023194944256128,-0.0005418311132475,51,0.5653975459329731,-36.4226989226989,90.18662097744804,78.24812574812573,0.0442060318236867,-0.04383406574142318,0.29,0.14
34,600,5,0.0245435624811075,0.0598621023051975,0.0353185398240899,128,0.5653975459329731,-76.70059325491263,117.72465813585168,109.73316277962874,0.06331729466328755,0.016503504299046325,0.31,0.166
35,400,4,0.0167191505323087,0.0411517384085168,0.024432587876208,45,0.5586333427091309,47.176234618095094,70.86450797826048,62.97094378489728,0.03888164429689612,-0.07928146257057193,0.5,0.285
35,400,5,0.0031700492394829,0.0092277410778223,0.0060576918383393,80,0.5586333427091309,49.25158819874134,79.86029132166566,69.29642465228196,0.04784694898676939,-0.06375564155607422,0.469,0.26
35,600,4,0.0057599469546869,0.0655777194068719,0.059817772452185,69,0.5860617973061971,17.82833020637898,107.71296360428884,82.18247199954517,0.043067712347981096,-0.0874029009379539,0.211,0.17
35,600,5,0.0088373793235629,0.0230401150533449,0.0142027357297819,144,0.5860617973061971,-0.19070779787401548,115.41450986341363,84.67301450367549,0.0436644516219773,-0.02888113252333106,0.18,0.214
36,400,4,0.0028112323536977,0.010322029255717,0.0075107969020192,33,0.5856140223305886,5.884670884670904,74.17062171135565,52.91985791985789,0.045083405994487444,-0.01785190935297804,0.459,0.233
36,400,5,0.0084616710990221,0.0040236158859769,-0.0044380552130451,104,0.5856140223305886,12.51422357017148,83.39124768803137,59.29705400529093,0.05346867598990099,-0.008059850936743551,0.457,0.246
36,600,4,0.0026656871135543,0.0818191119897192,0.0791534248761649,39,0.5673204745983749,-28.781521508794278,102.52382756059538,80.70115490570034,0.04096582725488475,0.03150669002545205,0.334,0.157
36,600,5,0.0059359158138594,0.0760925129442119,0.0701565971303525,156,0.5673204745983749,-18.380150608553794,137.5899082000941,103.68087192040068,0.06471945197214458,-0.02475525644856948,0.279,0.138
37,400,4,0.0074354147260077,0.0513594454245844,0.0439240306985767,33,0.5859041361839498,29.630795130795075,73.15832740230071,56.53885003885002,0.039331956051179236,-0.12070914266553993,0.555,0.362
37,400,5,0.0030858593266548,0.0209757834981522,0.0178899241714973,96,0.5859041361839498,43.21413974711838,82.34186439177806,68.51650611510051,0.04838232750787492,-0.04804899081784724,0.514,0.305
37,600,4,0.00712245334169,0.0645830438444391,0.0574605905027491,57,0.581574916917827,10.894886363636342,87.02129698159577,66.0631555944056,0.04129747990142409,-0.007267335330063167,0.332,0.167
37,600,5,0.0009632936647337,0.0489523147849502,0.0479890211202164,116,0.581574916917827,26.97443181818183,101.83972140963257,82.25278389259086,0.0459589204512712,-0.06498254817749488,0.241,0.131
38,400,4,0.0052239228155659,0.0004090818515467,-0.0048148409640191,42,0.5508848705110949,59.056499056499014,97.81303730964409,78.78815628815622,0.054210471959645117,-0.011002336199364209,0.573,0.384
38,400,5,0.0022742085771141,0.033012526032097,0.0307383174549829,100,0.5508848705110949,70.41668791505182,114.29735209220985,92.0913014777544,0.060952819191726584,0.016503504299046318,0.578,0.388
