pp_id,stim_tempo_intended,length,n_maxima,maximum_i,maximum_location
60,600,5,2,1,0.54
61,400,4,1,0,0.405
61,400,5,2,0,0.458
61,400,5,2,1,0.681
61,600,4,2,0,0.46900000000000003
61,600,4,2,1,0.684
61,600,5,2,0,0.389
61,600,5,2,1,0.641
62,400,4,1,0,0.46900000000000003
62,400,5,1,0,0.487
62,600,4,3,0,0.392
62,600,4,3,1,0.499
62,600,4,3,2,0.609
62,600,5,1,0,0.492
63,400,4,3,0,0.28200000000000003
63,400,4,3,1,0.488
63,400,4,3,2,0.677
63,400,5,3,0,0.296
63,400,5,3,1,0.484
63,400,5,3,2,0.715
63,600,4,3,0,0.28800000000000003
63,600,4,3,1,0.495
63,600,4,3,2,0.723
63,600,5,3,0,0.302
63,600,5,3,1,0.503
63,600,5,3,2,0.727
64,400,4,3,0,0.389
64,400,4,3,1,0.502
64,400,4,3,2,0.687
64,400,5,1,0,0.491
64,600,4,2,0,0.47300000000000003
64,600,4,2,1,0.665
64,600,5,2,0,0.47900000000000004
64,600,5,2,1,0.673
65,400,4,1,0,0.487
65,400,5,2,0,0.495
65,400,5,2,1,0.645
65,600,4,1,0,0.47900000000000004
65,600,5,2,0,0.199
65,600,5,2,1,0.515
66,400,4,2,0,0.369
66,400,4,2,1,0.637
66,400,5,1,0,0.484
66,600,4,2,0,0.47900000000000004
66,600,4,2,1,0.596
66,600,5,1,0,0.482
