pp_id_behav,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,stim_tempo_intended,stim_tempo,stim_sd,length,n_resp,ITI_mean,ITI_sd,tempo_ratio_resp_to_stim,asynchrony_norm_abs_trialsum,stim_entropy_norm_q,resp_entropy_norm_q,entropy_diff_norm_q,G_resp,k_clusters_resp,G_stim,k_clusters_stim,G_diff,silhouette,iti_ioi_cov_diff,edit_distance_norm_q
56,29,female,indonesian,right,0,83,56_83,600,499.869109947644,168.414693119373,5,5,489.375,246.420683809397,0.9381913959613688,0.2126465511085062,1.039720770839918,1.039720770839918,0.0,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.1443006538052624,1.0
56,29,female,indonesian,right,0,84,56_84,400,370.549738219895,144.736623512361,5,5,377.897727272727,169.039008713794,0.9381913959613688,0.1195410946561579,1.039720770839918,1.039720770839918,0.0,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.0491161567209916,1.0
56,29,female,indonesian,right,0,85,56_85,600,499.869109947644,56.4448333007092,5,5,524.147727272727,28.2625767367671,0.9381913959613688,0.0699156336418039,0.5623351446188083,0.0,-0.5623351446188083,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,-0.0510939512330919,1.0
56,29,female,indonesian,right,0,86,56_86,400,420.39627039627,114.924561413331,4,4,372.954545454545,206.665153175832,0.8326133050622848,0.2731637497472155,0.6365141682948128,0.6365141682948128,0.0,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.2292376358384754,2.0
56,29,female,indonesian,right,0,87,56_87,600,662.82722513089,182.277419864998,5,5,627.443181818182,199.837000985328,0.8326133050622848,0.0609552254371426,0.5623351446188083,0.5623351446188083,0.0,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0376671514242713,0.0
56,29,female,indonesian,right,0,89,56_89,600,663.519813519814,212.86595357885,4,4,558.409090909091,218.001701221658,0.8326133050622848,0.1222566882148828,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0568155702332243,0.0
56,29,female,indonesian,right,0,90,56_90,400,543.979057591623,99.9460761201404,5,5,514.431818181818,196.651068041807,0.9862840162652494,0.1712133359611342,0.6931471805599453,0.6931471805599453,0.0,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.1719380855839205,4.0
56,29,female,indonesian,right,0,91,56_91,600,533.246073298429,108.630858226421,5,5,486.818181818182,186.102644298452,0.9862840162652494,0.2144661988506739,0.5623351446188083,0.6931471805599453,0.130812035941137,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.154643979795609,3.0
56,29,female,indonesian,right,0,92,56_92,400,433.376963350785,177.797005259551,5,5,492.954545454545,347.530693097211,0.9862840162652494,0.2605040911033382,1.039720770839918,1.039720770839918,0.0,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.2552488096527091,2.0
56,29,female,indonesian,right,0,93,56_93,600,622.251308900524,114.147332815133,5,5,610.568181818182,62.3668002112906,0.9964552570716956,0.1470700156229183,1.039720770839918,0.5623351446188083,-0.4773856262211096,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0704052518499203,4.0
56,29,female,indonesian,right,0,94,56_94,400,512.470862470862,153.779917930634,4,4,536.590909090909,216.898570003173,0.9964552570716956,0.0804250558960869,0.6365141682948128,0.6365141682948128,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0850303210683066,0.0
56,29,female,indonesian,right,0,95,56_95,600,793.717277486911,59.2533546993542,5,5,747.613636363636,17.2353063542244,0.9964552570716956,0.0752578966175654,0.6931471805599453,0.0,-0.6931471805599453,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0446862283376785,0.0
56,29,female,indonesian,right,0,96,56_96,400,447.774869109948,195.154975800607,5,5,492.954545454545,211.379031697381,0.9964552570716956,0.0379708682399767,1.039720770839918,1.039720770839918,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,-0.0060903696630315,0.0
56,29,female,indonesian,right,0,97,56_97,400,532.284382284382,54.3178563996785,4,4,568.636363636364,93.555790576603,0.7024545294013774,0.1451367042997964,0.0,0.6365141682948128,0.6365141682948128,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.0510146130532394,1.0
56,29,female,indonesian,right,0,98,56_98,600,567.948717948718,29.323416376245,4,4,582.954545454545,5.41176404535943,0.7024545294013774,0.0420135776200883,0.0,0.0,0.0,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,-0.0345762269172293,0.0
56,29,female,indonesian,right,0,100,56_100,600,523.659673659674,200.929831945892,4,4,498.409090909091,235.061206202038,0.7024545294013774,0.0667869733828246,0.6365141682948128,0.6365141682948128,0.0,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0717863359287827,0.0
56,29,female,indonesian,right,0,101,56_101,400,353.962703962704,29.1142097827431,4,4,411.136363636364,83.1119304023593,0.7824098066573649,0.120380426918202,0.0,0.6365141682948128,0.6365141682948128,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.0978975657913284,2.0
56,29,female,indonesian,right,0,103,56_103,400,412.237762237762,102.11945361196,4,4,403.636363636364,164.609323365486,0.7824098066573649,0.1541837639165879,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.1307179158592348,2.0
56,29,female,indonesian,right,0,104,56_104,600,475.874125874126,106.111824513941,4,4,432.272727272727,86.2088924676327,0.7824098066573649,0.0179199589588586,0.6365141682948128,0.6365141682948128,0.0,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,-0.0192295146329581,0.0
56,29,female,indonesian,right,0,106,56_106,600,588.219895287958,217.335302133683,5,5,597.272727272727,212.858351224354,0.8105672889438026,0.1854359846614357,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0113413306380131,4.0
