pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff
11,21,M,danish,right,0.0,38,11_38,4,4,600,633.216783216783,189.199290328233,3,829.020979020979,863.181818181818,34.1608391608393
11,21,M,danish,right,0.0,38,11_38,4,4,600,633.216783216783,189.199290328233,1,451.398601398601,521.590909090909,70.1923076923076
11,21,M,danish,right,0.0,38,11_38,4,4,600,633.216783216783,189.199290328233,2,619.230769230769,466.363636363636,152.867132867133
11,21,M,danish,right,0.0,38,11_38,4,4,600,633.216783216783,189.199290328233,3,829.020979020979,863.181818181818,34.1608391608393
11,21,M,danish,right,0.0,39,11_39,4,4,400,526.456876456876,79.7580984192337,1,440.20979020979,454.090909090909,13.8811188811189
11,21,M,danish,right,0.0,39,11_39,4,4,400,526.456876456876,79.7580984192337,2,541.608391608392,486.818181818182,54.7902097902099
11,21,M,danish,right,0.0,39,11_39,4,4,400,526.456876456876,79.7580984192337,3,597.552447552448,738.409090909091,140.856643356643
11,21,M,danish,right,0.0,39,11_39,4,4,400,526.456876456876,79.7580984192337,1,440.20979020979,454.090909090909,13.8811188811189
11,21,M,danish,right,0.0,39,11_39,4,4,400,526.456876456876,79.7580984192337,2,541.608391608392,486.818181818182,54.7902097902099
11,21,M,danish,right,0.0,39,11_39,4,4,400,526.456876456876,79.7580984192337,3,597.552447552448,738.409090909091,140.856643356643
11,21,M,danish,right,0.0,40,11_40,4,4,600,644.871794871795,62.5799242827916,1,713.636363636364,728.181818181818,14.5454545454546
11,21,M,danish,right,0.0,40,11_40,4,4,600,644.871794871795,62.5799242827916,2,591.258741258741,656.590909090909,65.3321678321678
11,21,M,danish,right,0.0,40,11_40,4,4,600,644.871794871795,62.5799242827916,3,629.72027972028,515.454545454545,114.265734265734
11,21,M,danish,right,0.0,40,11_40,4,4,600,644.871794871795,62.5799242827916,1,713.636363636364,728.181818181818,14.5454545454546
11,21,M,danish,right,0.0,40,11_40,4,4,600,644.871794871795,62.5799242827916,2,591.258741258741,656.590909090909,65.3321678321678
11,21,M,danish,right,0.0,40,11_40,4,4,600,644.871794871795,62.5799242827916,3,629.72027972028,515.454545454545,114.265734265734
11,21,M,danish,right,0.0,41,11_41,5,5,400,318.848167539267,81.3486326205853,1,325.392670157068,280.227272727273,45.1653974297953
11,21,M,danish,right,0.0,41,11_41,5,5,400,318.848167539267,81.3486326205853,2,244.240837696335,304.772727272727,60.5318895763921
11,21,M,danish,right,0.0,41,11_41,5,5,400,318.848167539267,81.3486326205853,3,275.65445026178,278.181818181818,2.52736792003816
11,21,M,danish,right,0.0,41,11_41,5,5,400,318.848167539267,81.3486326205853,4,430.104712041885,560.454545454545,130.349833412661
11,21,M,danish,right,0.0,41,11_41,5,5,400,318.848167539267,81.3486326205853,1,325.392670157068,280.227272727273,45.1653974297953
11,21,M,danish,right,0.0,41,11_41,5,5,400,318.848167539267,81.3486326205853,2,244.240837696335,304.772727272727,60.5318895763921
11,21,M,danish,right,0.0,41,11_41,5,5,400,318.848167539267,81.3486326205853,3,275.65445026178,278.181818181818,2.52736792003816
11,21,M,danish,right,0.0,41,11_41,5,5,400,318.848167539267,81.3486326205853,4,430.104712041885,560.454545454545,130.349833412661
11,21,M,danish,right,0.0,42,11_42,4,4,600,643.706293706294,86.9919951372359,1,549.300699300699,636.136363636364,86.8356643356642
