pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,stim_tempo_intended,stim_tempo,stim_sd,length,n_resp,ITI_mean,ITI_sd,edit_distance,stim_entropy,resp_entropy,entropy_diff,G,silhouette,rhythmic_contours_edit_distance
3,26,F,danish,right,0.0,178,3_178,400,422.727272727273,202.1632241325,4,4,377.727272727273,129.952112922001,2,1.0986122886681096,1.0986122886681096,0.0,0.005038151186498641,0.6100156209206361,0
3,26,F,danish,right,0.0,179,3_179,600,721.7277486911,115.658230546463,5,5,759.375,111.652281308927,2,1.0986122886681096,1.0986122886681096,0.0,0.033610466391665095,0.5714906874213845,2
3,26,F,danish,right,0.0,180,3_180,400,473.952879581152,103.909995536127,5,5,613.636363636364,151.428118942987,5,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.005038151186498641,0.6100156209206361,1
3,26,F,danish,right,0.0,181,3_181,600,662.354312354312,218.1418438068,4,4,681.136363636364,229.06351297229,2,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.033610466391665095,0.5714906874213845,0
3,26,F,danish,right,0.0,182,3_182,400,410.471204188482,190.488876044255,5,5,425.965909090909,151.937257671037,1,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.005038151186498641,0.6100156209206361,0
3,26,F,danish,right,0.0,183,3_183,600,610.471204188482,118.265518304466,5,5,651.988636363636,132.921761692377,3,1.0986122886681096,1.0986122886681096,0.0,0.033610466391665095,0.5714906874213845,0
3,26,F,danish,right,0.0,184,3_184,400,363.350785340314,201.808522222074,5,5,377.386363636364,198.106611042749,4,1.0986122886681096,1.0986122886681096,0.0,0.005038151186498641,0.6100156209206361,0
3,26,F,danish,right,0.0,186,3_186,400,432.722513089005,192.830857180135,5,5,451.534090909091,199.850958154337,2,1.0986122886681096,1.0986122886681096,0.0,0.005038151186498641,0.6100156209206361,0
3,26,F,danish,right,0.0,187,3_187,600,616.899766899767,181.829388214804,4,4,562.5,213.051544805011,1,1.039720770839918,1.039720770839918,0.0,0.033610466391665095,0.5714906874213845,0
3,26,F,danish,right,0.0,188,3_188,400,366.783216783217,9.2508787100161,4,4,379.772727272727,38.881574807409,0,1.039720770839918,1.039720770839918,0.0,0.005038151186498641,0.6100156209206361,1
3,26,F,danish,right,0.0,190,3_190,400,411.125654450262,172.276702616387,5,5,466.875,236.462419261794,2,1.039720770839918,1.039720770839918,0.0,0.005038151186498641,0.6100156209206361,0
3,26,F,danish,right,0.0,191,3_191,600,573.776223776224,237.58220250852,4,4,563.181818181818,146.394159719573,3,1.039720770839918,1.039720770839918,0.0,0.033610466391665095,0.5714906874213845,1
3,26,F,danish,right,0.0,192,3_192,400,450.699300699301,103.013425612981,4,4,474.545454545455,138.185556169537,1,1.0986122886681096,1.0986122886681096,0.0,0.005038151186498641,0.6100156209206361,0
4,22,F,danish,right,0.0,1,4_1,400,268.881118881119,70.7124070494989,4,4,289.772727272727,118.306752145876,1,1.0986122886681096,1.0986122886681096,0.0,0.03039707248413781,0.5500403462669369,1
4,22,F,danish,right,0.0,2,4_2,600,622.251308900524,160.477823287896,5,5,540.511363636364,89.835205531532,3,1.0986122886681096,1.0986122886681096,0.0,0.023560942453414335,0.540642730367117,2
4,22,F,danish,right,0.0,4,4_4,600,481.701631701632,84.3761668892227,4,4,473.181818181818,26.3008657117989,2,1.3862943611198906,1.3862943611198906,0.0,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,5,4_5,400,347.643979057592,169.942138389217,5,5,370.738636363636,158.417120247792,2,1.3862943611198906,1.3862943611198906,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,6,4_6,600,626.223776223776,200.340802108766,4,4,576.136363636364,206.432207269959,1,1.3862943611198906,1.3862943611198906,0.0,0.023560942453414335,0.540642730367117,0
