pp_id,stim_tempo_intended,length,sequence_id,interval_ratio_i,interval_ratio
1,400,5,1_187,1,0.3733766233766238
1,400,5,1_187,2,0.5406162464985996
1,400,5,1_187,3,0.47674418604651136
1,400,5,1_24,1,0.7777777777777776
1,400,5,1_24,2,0.46927374301675984
1,400,5,1_24,3,0.41850220264317206
1,400,5,1_28,1,0.6303236797274279
1,400,5,1_28,2,0.5142180094786727
1,400,5,1_28,3,0.589080459770115
1,400,5,1_34,1,0.5060240963855425
1,400,5,1_34,2,0.40594059405940597
1,400,5,1_34,3,0.49315068493150666
1,400,5,1_36,1,0.6849315068493146
1,400,5,1_36,2,0.4406130268199233
1,400,5,1_36,3,0.38624338624338683
1,400,5,1_38,1,0.6618075801749275
1,400,5,1_38,2,0.5043478260869564
1,400,5,1_38,3,0.4935064935064931
1,400,5,1_4,1,0.460431654676259
1,400,5,1_4,2,0.49559471365638774
1,400,5,1_4,3,0.43207547169811333
1,400,5,1_40,1,0.3741935483870964
1,400,5,1_40,2,0.5359116022099446
1,400,5,1_40,3,0.48554913294797725
1,400,5,1_42,1,0.7500000000000003
1,400,5,1_42,2,0.3382352941176469
1,400,5,1_42,3,0.46632124352331616
1,400,5,1_44,1,0.31868131868131844
1,400,5,1_44,2,0.5210084033613444
1,400,5,1_44,3,0.39220183486238497
1,400,5,1_49,1,0.4821731748726657
1,400,5,1_49,2,0.516949152542373
1,400,5,1_49,3,0.6753554502369665
1,400,5,1_51,1,0.33691756272401396
1,400,5,1_51,2,0.5124653739612189
1,400,5,1_51,3,0.42718446601941734
1,400,5,1_53,1,0.5133928571428568
1,400,5,1_53,2,0.5081585081585083
1,400,5,1_53,3,0.3966165413533834
1,400,5,1_57,1,0.7867867867867865
1,400,5,1_57,2,0.29583333333333384
1,400,5,1_57,3,0.39764705882352913
1,400,5,1_6,1,0.4827586206896556
1,400,5,1_6,2,0.40358744394618784
1,400,5,1_6,3,0.44630872483221523
1,400,5,1_61,1,0.26229508196721346
1,400,5,1_61,2,0.32467532467532484
1,400,5,1_61,3,0.8478260869565216
1,400,5,1_71,1,0.6554216867469879
1,400,5,1_71,2,0.3470873786407766
1,400,5,1_71,3,0.5046904315197
1,400,5,1_8,1,0.35891089108910895
1,400,5,1_8,2,0.7337110481586404
1,400,5,1_8,3,0.37007874015748016
1,600,4,1_101,1,0.6389413988657845
1,600,4,1_101,2,0.5335195530726257
1,600,4,1_103,1,0.42614379084967313
1,600,4,1_103,2,0.549436795994994
1,600,4,1_105,1,0.4554973821989528
1,600,4,1_105,2,0.5261382799325465
1,600,4,1_11,1,0.35421686746987946
1,600,4,1_11,2,0.5037593984962405
1,600,4,1_111,1,0.48664122137404564
1,600,4,1_111,2,0.49539594843462276
1,600,4,1_113,1,0.45018450184501824
1,600,4,1_113,2,0.5654648956356737
1,600,4,1_121,1,0.39538714991762774
1,600,4,1_121,2,0.5881410256410257
1,600,4,1_127,1,0.4045307443365693
1,600,4,1_127,2,0.6312178387650088
1,600,4,1_129,1,0.3825944170771757
1,600,4,1_129,2,0.6235489220563847
1,600,4,1_13,1,0.4178343949044587
1,600,4,1_13,2,0.5919689119170983
1,600,4,1_156,1,0.36671177266576466
1,600,4,1_156,2,0.505945945945946
1,600,4,1_162,1,0.3921901528013583
1,600,4,1_162,2,0.6161790017211701
1,600,4,1_164,1,0.45414201183431946
1,600,4,1_164,2,0.5027247956403269
1,600,4,1_166,1,0.42977528089887584
1,600,4,1_166,2,0.28917378917378894
1,600,4,1_168,1,0.4735792622133599
1,600,4,1_168,2,0.5563751317175973
1,600,4,1_176,1,0.48263254113345533
1,600,4,1_176,2,0.5
1,600,4,1_19,1,0.6141479099678455
1,600,4,1_19,2,0.5405405405405407
1,600,4,1_190,1,0.6459074733096083
1,600,4,1_190,2,0.4795180722891568
1,600,4,1_192,1,0.4487577639751553
1,600,4,1_192,2,0.41764705882352954
1,600,4,1_21,1,0.625
1,600,4,1_21,2,0.2811127379209375
1,600,4,1_23,1,0.6666666666666666
1,600,4,1_23,2,0.5310559006211181
1,600,4,1_25,1,0.6653386454183264
1,600,4,1_25,2,0.5060240963855428
1,600,4,1_31,1,0.6271186440677967
1,600,4,1_31,2,0.5251989389920422
1,600,4,1_5,1,0.45045045045045046
1,600,4,1_5,2,0.48508946322067603
1,600,4,1_52,1,0.4936708860759495
1,600,4,1_52,2,0.6153846153846153
1,600,4,1_54,1,0.5115830115830118
1,600,4,1_54,2,0.5100806451612906
1,600,4,1_56,1,0.38840579710144923
1,600,4,1_56,2,0.6645669291338583
1,600,4,1_66,1,0.3695271453590193
1,600,4,1_66,2,0.483221476510067
1,600,4,1_68,1,0.3969072164948455
1,600,4,1_68,2,0.48885793871866284
1,600,4,1_7,1,0.3572895277207392
1,600,4,1_7,2,0.507293354943274
1,600,4,1_78,1,0.4934210526315788
1,600,4,1_78,2,0.5304247990815155
1,600,4,1_82,1,0.6954545454545455
1,600,4,1_82,2,0.30454545454545445
1,600,4,1_84,1,0.46610169491525444
1,600,4,1_84,2,0.5472312703583061
1,600,4,1_86,1,0.39512195121951244
1,600,4,1_86,2,0.5095890410958905
1,600,4,1_88,1,0.6133768352365417
1,600,4,1_88,2,0.3956594323873122
1,600,4,1_9,1,0.5899390243902438
1,600,4,1_9,2,0.4981481481481482
1,600,4,1_92,1,0.6069364161849712
1,600,4,1_92,2,0.49364791288566234
1,600,4,1_99,1,0.4242957746478872
1,600,4,1_99,2,0.6540000000000001
1,600,5,1_1,1,0.3918032786885245
1,600,5,1_1,2,0.49074074074074064
1,600,5,1_1,3,0.6082148499210112
1,600,5,1_107,1,0.5611745513866232
1,600,5,1_107,2,0.5886214442013128
1,600,5,1_107,3,0.42247191011235996
1,600,5,1_117,1,0.4797687861271681
1,600,5,1_117,2,0.3402646502835539
1,600,5,1_117,3,0.5021582733812947
